"Datum";"VertrekHalteCode";"VertrekHalteNaam";"VertrekLat";"VertrekLon";"AantalReizen"
"10/12/2020 12:00:00 AM";"02043";"Nieuwe Hemweg";"4.85097494";"52.40107858";"11"
"10/12/2020 12:00:00 AM";"02060";"Spaarndammerdijk";"4.86040623";"52.39260956";"16"
"10/12/2020 12:00:00 AM";"02061";"Spaarndammerdijk";"4.86203940";"52.39240111";"17"
"10/12/2020 12:00:00 AM";"02065";"Kabelweg";"4.84862030";"52.39170272";"38"
"10/12/2020 12:00:00 AM";"02083";"Archangelkade";"4.87193439";"52.39550937";"32"
"10/12/2020 12:00:00 AM";"02086";"Solebaystraat";"4.85594303";"52.38501299";"115"
"10/12/2020 12:00:00 AM";"02088";"Vredenhof";"4.86378450";"52.38520070";"58"
"10/12/2020 12:00:00 AM";"02089";"Vredenhof";"4.86238820";"52.38527541";"27"
"10/12/2020 12:00:00 AM";"02094";"Zaanstraat";"4.87012818";"52.39291304";"36"
"10/12/2020 12:00:00 AM";"02099";"Zaanstraat";"4.86990824";"52.39287613";"46"
